# solver	iter	edge-congestion
ecmp	0	
		(s1,s2) : 0.00777064919345
		(s1,h1) : 0.00213409061539
		(s2,s1) : 0.0213409061539
		(s2,s5) : 0.352231036155
		(s2,s6) : 0.220859879328
		(s2,s12) : 0.304413699087
		(s2,h2) : 0.0246299515697
		(s3,s6) : 0.185654526832
		(s3,s9) : 0.131716775767
		(s3,h3) : 0.0388237962549
		(s4,s7) : 0.165177504274
		(s4,s10) : 0.0306806830358
		(s4,s11) : 0.072220458065
		(s4,h4) : 0.0104171572748
		(s5,s2) : 0.295979976224
		(s5,s7) : 0.125955323093
		(s5,s8) : 0.29990295902
		(s5,h5) : 0.0101579714693
		(s6,s2) : 0.168698750653
		(s6,s3) : 0.289589392514
		(s6,s7) : 0.207897230069
		(s6,h6) : 0.0224298276662
		(s7,s4) : 0.168303911565
		(s7,s5) : 0.092009459863
		(s7,s6) : 0.221856716929
		(s7,h7) : 0.00911785819598
		(s8,s5) : 0.246525987721
		(s8,s10) : 0.0685321056123
		(s8,h8) : 0.0293259331143
		(s9,s3) : 0.302960413616
		(s9,s12) : 0.253806205962
		(s9,h9) : 0.0304921227368
		(s10,s4) : 0.0287160616075
		(s10,s8) : 0.0601726494827
		(s10,s11) : 0.0280577498072
		(s10,h10) : 0.00486510205677
		(s11,s4) : 0.0718185829436
		(s11,s10) : 0.0271583297136
		(s11,h11) : 0.0100278207872
		(s12,s2) : 0.497039586384
		(s12,s9) : 0.302896269339
		(s12,h12) : 0.0314205893818
		(h1,s1) : 0.000777064919345
		(h2,s2) : 0.0175656073967
		(h3,s3) : 0.0113059459017
		(h4,s4) : 0.0103411662006
		(h5,s5) : 0.0132651489291
		(h6,s6) : 0.026211252681
		(h7,s7) : 0.00743186128804
		(h8,s8) : 0.0248241815975
		(h9,s9) : 0.042707480184
		(h10,s10) : 0.00392263631034
		(h11,s11) : 0.00989769126572
		(h12,s12) : 0.0555921844491
ecmp	1	
		(s1,s2) : 0.00779119719653
		(s1,h1) : 0.00303435979041
		(s2,s1) : 0.0303435979041
		(s2,s5) : 0.347671748364
		(s2,s6) : 0.205581156421
		(s2,s12) : 0.29168561146
		(s2,h2) : 0.0229142407406
		(s3,s6) : 0.188941601476
		(s3,s9) : 0.134999251454
		(s3,h3) : 0.0347456726474
		(s4,s7) : 0.15806821082
		(s4,s10) : 0.0303407612568
		(s4,s11) : 0.0787357055147
		(s4,h4) : 0.0102213029929
		(s5,s2) : 0.26403576288
		(s5,s7) : 0.110096862374
		(s5,s8) : 0.283941105682
		(s5,h5) : 0.0096856345112
		(s6,s2) : 0.169178588005
		(s6,s3) : 0.260261231097
		(s6,s7) : 0.212148340721
		(s6,h6) : 0.0216284770583
		(s7,s4) : 0.172771817801
		(s7,s5) : 0.0924481006521
		(s7,s6) : 0.209044609714
		(s7,h7) : 0.0088729156278
		(s8,s5) : 0.252402886059
		(s8,s10) : 0.0705409561117
		(s8,h8) : 0.0275752561785
		(s9,s3) : 0.294751859016
		(s9,s12) : 0.259604452185
		(s9,h9) : 0.0301076835859
		(s10,s4) : 0.0276289998272
		(s10,s8) : 0.0572082257558
		(s10,s11) : 0.0298806313449
		(s10,h10) : 0.00488983852109
		(s11,s4) : 0.0690442965515
		(s11,s10) : 0.0262232243194
		(s11,h11) : 0.010861633686
		(s12,s2) : 0.505403122492
		(s12,s9) : 0.292922128699
		(s12,h12) : 0.0321060660274
		(h1,s1) : 0.000779119719653
		(h2,s2) : 0.0158015850982
		(h3,s3) : 0.0116384489291
		(h4,s4) : 0.00999125933405
		(h5,s5) : 0.00624073409732
		(h6,s6) : 0.0254305562795
		(h7,s7) : 0.00826802705307
		(h8,s8) : 0.0257547072518
		(h9,s9) : 0.0427511766907
		(h10,s10) : 0.00365113004509
		(h11,s11) : 0.00952675208709
		(h12,s12) : 0.056809584782
ecmp	2	
		(s1,s2) : 0.00680155623194
		(s1,h1) : 0.00172587342799
		(s2,s1) : 0.0171220471192
		(s2,s5) : 0.12174796998
		(s2,s6) : 0.121838695528
		(s2,s12) : 0.0324259544294
		(s2,h2) : 0.0123100271036
		(s3,s6) : 0.178562517864
		(s3,s9) : 0.136300374168
		(s3,h3) : 0.0369286373972
		(s4,s7) : 0.166987243559
		(s4,s10) : 0.0304085251612
		(s4,s11) : 0.0640171987581
		(s4,h4) : 0.00748271448973
		(s5,s2) : 0.306773058949
		(s5,s7) : 0.090230948147
		(s5,s8) : 0.144919611475
		(s5,h5) : 0.00693162029182
		(s6,s2) : 0.172106888563
		(s6,s3) : 0.278877133794
		(s6,s7) : 0.171706252359
		(s6,h6) : 0.0158213339113
		(s7,s4) : 0.126237122648
		(s7,s5) : 0.10194310948
		(s7,s6) : 0.223629269932
		(s7,h7) : 0.00597330223528
		(s8,s5) : 0.273202998494
		(s8,s10) : 0.0481315776293
		(s8,h8) : 0.0167161843475
		(s9,s3) : 0.289169567866
		(s9,s12) : 0.257700666026
		(s9,h9) : 0.0232178481087
		(s10,s4) : 0.0240780427817
		(s10,s8) : 0.0581345022071
		(s10,s11) : 0.0240406751103
		(s10,h10) : 0.00280939195839
		(s11,s4) : 0.0706116036205
		(s11,s10) : 0.0282782737335
		(s11,h11) : 0.00883974480044
		(s12,s2) : 0.0519559355621
		(s12,s9) : 0.227971364483
		(s12,h12) : 0.0137744834233
		(h1,s1) : 0.000680155623194
		(h2,s2) : 0.0165235495096
		(h3,s3) : 0.0116102564344
		(h4,s4) : 0.0114795946497
		(h5,s5) : 0.0111451254767
		(h6,s6) : 0.0255819788297
		(h7,s7) : 0.00818718019606
		(h8,s8) : 0.0283512659164
		(h9,s9) : 0.0413800054043
		(h10,s10) : 0.00272596062982
		(h11,s11) : 0.0098889877354
		(h12,s12) : 0.0591906338439
ecmp	3	
		(s1,s2) : 0.00550791505878
		(s1,h1) : 0.00173783986532
		(s2,s1) : 0.0172277284036
		(s2,s5) : 0.10111234515
		(s2,s6) : 0.126347387767
		(s2,s12) : 0.032025578046
		(s2,h2) : 0.0118609351749
		(s3,s6) : 0.181100646552
		(s3,s9) : 0.134411961263
		(s3,h3) : 0.0381161997469
		(s4,s7) : 0.168812076715
		(s4,s10) : 0.0256091639199
		(s4,s11) : 0.0596240151286
		(s4,h4) : 0.00780420689797
		(s5,s2) : 0.292091537068
		(s5,s7) : 0.0847675784679
		(s5,s8) : 0.10732591857
		(s5,h5) : 0.00538767176615
		(s6,s2) : 0.159472743086
		(s6,s3) : 0.272689306445
		(s6,s7) : 0.16158558004
		(s6,h6) : 0.0171759301853
		(s7,s4) : 0.123638068663
		(s7,s5) : 0.086919565756
		(s7,s6) : 0.225989035941
		(s7,h7) : 0.00599007971306
		(s8,s5) : 0.282084449719
